label,ascii,char
0,48,0
1,49,1
2,50,2
3,51,3
4,52,4
5,53,5
6,54,6
7,55,7
8,56,8
9,57,9
10,65,A
11,66,B
12,67,C
13,68,D
14,69,E
15,70,F
16,71,G
17,72,H
18,73,I
19,74,J
20,75,K
21,76,L
22,77,M
23,78,N
24,79,O
25,80,P
26,81,Q
27,82,R
28,83,S
29,84,T
30,85,U
31,86,V
32,87,W
33,88,X
34,89,Y
35,90,Z
36,97,a
37,98,b
38,99,c
39,100,d
40,101,e
41,102,f
42,103,g
43,104,h
44,105,i
45,106,j
46,107,k
47,108,l
48,109,m
49,110,n
50,111,o
51,112,p
52,113,q
53,114,r
54,115,s
55,116,t
56,117,u
57,118,v
58,119,w
59,120,x
60,121,y
61,122,z
